movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Powder (1995),Drama|Sci-Fi
4,Leaving Las Vegas (1995),Drama|Romance
5,Othello (1995),Drama
6,Now and Then (1995),Children|Drama
7,Persuasion (1995),Drama|Romance
8,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
9,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
10,Dangerous Minds (1995),Drama
11,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
12,Babe (1995),Children|Drama
13,Dead Man Walking (1995),Crime|Drama
14,It Takes Two (1995),Children|Comedy
15,Clueless (1995),Comedy|Romance
16,"Cry, the Beloved Country (1995)",Drama
17,Richard III (1995),Drama|War
18,Dead Presidents (1995),Action|Crime|Drama
19,Restoration (1995),Drama
20,Mortal Kombat (1995),Action|Adventure|Fantasy
21,To Die For (1995),Comedy|Drama|Thriller
22,How to Make an American Quilt (1995),Drama|Romance
23,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
24,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
25,When Night Is Falling (1995),Drama|Romance
26,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
27,Mighty Aphrodite (1995),Comedy|Drama|Romance
28,Lamerica (1994),Adventure|Drama
29,"Big Green, The (1995)",Children|Comedy
30,Georgia (1995),Drama
31,Home for the Holidays (1995),Drama
32,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
33,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
34,Eye for an Eye (1996),Drama|Thriller
35,Mr. Holland's Opus (1995),Drama
36,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
37,Two if by Sea (1996),Comedy|Romance
38,Bio-Dome (1996),Comedy
39,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
40,French Twist (Gazon maudit) (1995),Comedy|Romance
41,Friday (1995),Comedy
42,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
43,Fair Game (1995),Action
44,Kicking and Screaming (1995),Comedy|Drama
45,"Misérables, Les (1995)",Drama|War
46,Bed of Roses (1996),Drama|Romance
47,Big Bully (1996),Comedy|Drama
48,Screamers (1995),Action|Sci-Fi|Thriller
49,Nico Icon (1995),Documentary
50,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
51,"Juror, The (1996)",Drama|Thriller
52,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
53,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
54,Antonia's Line (Antonia) (1995),Comedy|Drama
55,Once Upon a Time... When We Were Colored (1995),Drama|Romance
56,Angels and Insects (1995),Drama|Romance
57,White Squall (1996),Action|Adventure|Drama
58,Dunston Checks In (1996),Children|Comedy
59,Black Sheep (1996),Comedy
60,Nick of Time (1995),Action|Thriller
61,Mary Reilly (1996),Drama|Horror|Thriller
62,Vampire in Brooklyn (1995),Comedy|Horror|Romance
63,Beautiful Girls (1996),Comedy|Drama|Romance
64,Broken Arrow (1996),Action|Adventure|Thriller
65,In the Bleak Midwinter (1995),Comedy|Drama
66,"Hate (Haine, La) (1995)",Crime|Drama
67,Heidi Fleiss: Hollywood Madam (1995),Documentary
68,City Hall (1996),Drama|Thriller
69,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
70,Mr. Wrong (1996),Comedy
71,Unforgettable (1996),Mystery|Sci-Fi|Thriller
72,Happy Gilmore (1996),Comedy
73,"Bridges of Madison County, The (1995)",Drama|Romance
74,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
75,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
76,Catwalk (1996),Documentary
77,Braveheart (1995),Action|Drama|War
78,Taxi Driver (1976),Crime|Drama|Thriller
79,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
80,Before and After (1996),Drama|Mystery
81,Anne Frank Remembered (1995),Documentary
82,"Young Poisoner's Handbook, The (1995)",Crime|Drama
83,If Lucy Fell (1996),Comedy|Romance
84,"Steal Big, Steal Little (1995)",Comedy
85,"Boys of St. Vincent, The (1992)",Drama
86,Boomerang (1992),Comedy|Romance
87,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
88,Flirting With Disaster (1996),Comedy
89,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
90,Jupiter's Wife (1994),Documentary
91,Pie in the Sky (1996),Comedy|Romance
92,Jade (1995),Thriller
93,Down Periscope (1996),Comedy
94,Man of the Year (1995),Documentary
95,Up Close and Personal (1996),Drama|Romance
96,"Birdcage, The (1996)",Comedy
97,"Brothers McMullen, The (1995)",Comedy
98,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
99,"Amazing Panda Adventure, The (1995)",Adventure|Children
100,"Basketball Diaries, The (1995)",Drama
101,"Awfully Big Adventure, An (1995)",Drama
102,Amateur (1994),Crime|Drama|Thriller
103,Apollo 13 (1995),Adventure|Drama|IMAX
104,Rob Roy (1995),Action|Drama|Romance|War
105,"Addiction, The (1995)",Drama|Horror
106,Batman Forever (1995),Action|Adventure|Comedy|Crime
107,Beauty of the Day (Belle de jour) (1967),Drama
108,Beyond Rangoon (1995),Adventure|Drama|War
109,Blue in the Face (1995),Comedy|Drama
110,Canadian Bacon (1995),Comedy|War
111,Casper (1995),Adventure|Children
112,Clockers (1995),Crime|Drama|Mystery
113,Congo (1995),Action|Adventure|Mystery|Sci-Fi
114,Crimson Tide (1995),Drama|Thriller|War
115,Crumb (1994),Documentary
116,Desperado (1995),Action|Romance|Western
117,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
118,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
119,"Doom Generation, The (1995)",Comedy|Crime|Drama
120,First Knight (1995),Action|Drama|Romance
121,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
122,Hackers (1995),Action|Adventure|Crime|Thriller
123,Jeffrey (1995),Comedy|Drama
124,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
125,Judge Dredd (1995),Action|Crime|Sci-Fi
126,Jury Duty (1995),Comedy
127,Kids (1995),Drama
128,Living in Oblivion (1995),Comedy
129,Lord of Illusions (1995),Horror
130,Love & Human Remains (1993),Comedy|Drama
131,Mad Love (1995),Drama|Romance
132,Mallrats (1995),Comedy|Romance
133,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
134,Mute Witness (1994),Comedy|Horror|Thriller
135,Nadja (1994),Drama
136,"Net, The (1995)",Action|Crime|Thriller
137,Nine Months (1995),Comedy|Romance
138,Party Girl (1995),Comedy
139,"Prophecy, The (1995)",Fantasy|Horror|Mystery
140,Reckless (1995),Comedy|Fantasy
141,Safe (1995),Thriller
142,"Scarlet Letter, The (1995)",Drama|Romance
143,Showgirls (1995),Drama
144,Smoke (1995),Comedy|Drama
145,Something to Talk About (1995),Comedy|Drama|Romance
146,Species (1995),Horror|Sci-Fi
147,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
148,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
149,Three Wishes (1995),Drama|Fantasy
150,Total Eclipse (1995),Drama|Romance
151,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
152,Under Siege 2: Dark Territory (1995),Action
153,Unstrung Heroes (1995),Comedy|Drama
154,Unzipped (1995),Documentary
155,"Walk in the Clouds, A (1995)",Drama|Romance
156,Waterworld (1995),Action|Adventure|Sci-Fi
157,White Man's Burden (1995),Drama
158,Wild Bill (1995),Western
159,"Browning Version, The (1994)",Drama
160,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
161,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
162,Before the Rain (Pred dozhdot) (1994),Drama|War
163,Before Sunrise (1995),Drama|Romance
164,Billy Madison (1995),Comedy
165,"Babysitter, The (1995)",Drama|Thriller
166,Boys on the Side (1995),Comedy|Drama
167,"Cure, The (1995)",Drama
168,Castle Freak (1995),Horror
169,Circle of Friends (1995),Drama|Romance
170,Clerks (1994),Comedy
171,Don Juan DeMarco (1995),Comedy|Drama|Romance
172,Disclosure (1994),Drama|Thriller
173,Drop Zone (1994),Action|Thriller
174,Destiny Turns on the Radio (1995),Comedy
175,Death and the Maiden (1994),Drama|Thriller
176,Dolores Claiborne (1995),Drama|Thriller
177,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
178,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
179,Exotica (1994),Drama
180,Exit to Eden (1994),Comedy
181,Ed Wood (1994),Comedy|Drama
182,French Kiss (1995),Action|Comedy|Romance
183,Forget Paris (1995),Comedy|Romance
184,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
185,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
186,Hideaway (1995),Thriller
187,Fluke (1995),Children|Drama
188,Farinelli: il castrato (1994),Drama|Musical
189,Gordy (1995),Children|Comedy|Fantasy
190,Hoop Dreams (1994),Documentary
191,Heavenly Creatures (1994),Crime|Drama
192,Houseguest (1994),Comedy
193,Immortal Beloved (1994),Drama|Romance
194,Heavyweights (Heavy Weights) (1995),Children|Comedy
195,"Hunted, The (1995)",Action
196,I.Q. (1994),Comedy|Romance
197,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
198,Jefferson in Paris (1995),Drama
199,"Jerky Boys, The (1995)",Comedy
200,Junior (1994),Comedy|Sci-Fi
201,Just Cause (1995),Mystery|Thriller
202,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
203,Kiss of Death (1995),Crime|Drama|Thriller
204,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
205,Little Women (1994),Drama
206,"Little Princess, A (1995)",Children|Drama
207,Ladybird Ladybird (1994),Drama
208,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
209,Legends of the Fall (1994),Drama|Romance|War|Western
210,Major Payne (1995),Comedy
211,My Crazy Life (Mi vida loca) (1993),Drama
212,Love Affair (1994),Drama|Romance
213,Losing Isaiah (1995),Drama
214,"Madness of King George, The (1994)",Comedy|Drama
215,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
216,Man of the House (1995),Comedy
217,Mixed Nuts (1994),Comedy
218,Milk Money (1994),Comedy|Romance
219,Miracle on 34th Street (1994),Drama
220,Miami Rhapsody (1995),Comedy
221,My Family (1995),Drama
222,Murder in the First (1995),Drama|Thriller
223,Nobody's Fool (1994),Comedy|Drama|Romance
224,Nell (1994),Drama
225,New Jersey Drive (1995),Crime|Drama
226,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
227,Beyond Bedlam (1993),Drama|Horror
228,Nina Takes a Lover (1994),Comedy|Romance
229,Natural Born Killers (1994),Action|Crime|Thriller
230,Only You (1994),Comedy|Romance
231,Once Were Warriors (1994),Crime|Drama
232,Poison Ivy II (1996),Drama|Thriller
233,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
234,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
235,"Perez Family, The (1995)",Comedy|Romance
236,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
237,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
238,Pushing Hands (Tui shou) (1992),Drama
239,Priest (1994),Drama
240,Quiz Show (1994),Drama
241,Picture Bride (Bijo photo) (1994),Drama|Romance
242,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
243,"Quick and the Dead, The (1995)",Action|Thriller|Western
244,Roommates (1995),Comedy|Drama
245,Ready to Wear (Pret-A-Porter) (1994),Comedy
246,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
247,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
248,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
249,Rent-a-Kid (1995),Comedy
250,Relative Fear (1994),Horror|Thriller
251,Stuart Saves His Family (1995),Comedy
252,"Swan Princess, The (1994)",Animation|Children
253,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
254,"Specialist, The (1994)",Action|Drama|Thriller
255,Stargate (1994),Action|Adventure|Sci-Fi
256,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
257,"Shawshank Redemption, The (1994)",Crime|Drama
258,Shallow Grave (1994),Comedy|Drama|Thriller
259,Suture (1993),Film-Noir|Thriller
260,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
261,Swimming with Sharks (1995),Comedy|Drama
262,"Sum of Us, The (1994)",Comedy|Drama
263,National Lampoon's Senior Trip (1995),Comedy
264,To Live (Huozhe) (1994),Drama
265,Tank Girl (1995),Action|Comedy|Sci-Fi
266,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
267,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
268,Tales from the Hood (1995),Action|Crime|Horror
269,Tom & Viv (1994),Drama
270,Village of the Damned (1995),Horror|Sci-Fi
271,Tommy Boy (1995),Comedy
272,Vanya on 42nd Street (1994),Drama
273,Underneath (1995),Mystery|Thriller
274,"Walking Dead, The (1995)",Drama|War
275,What's Eating Gilbert Grape (1993),Drama
276,Virtuosity (1995),Action|Sci-Fi|Thriller
277,While You Were Sleeping (1995),Comedy|Romance
278,"War, The (1994)",Adventure|Drama|War
279,Double Happiness (1994),Drama
280,Muriel's Wedding (1994),Comedy
281,"Baby-Sitters Club, The (1995)",Children
282,Ace Ventura: Pet Detective (1994),Comedy
